ii	id	text	title
411	412	i bunda ) , which was also directed by Kim Kyu - tae Jump up ^ Kim Kyu - tae 's production company References ( edit ) Jump up ^ Park , Jin - hai ( August 28 , 2016 ) . `` Chinese remake ' Moon Lovers ' to premiere '' . Korea Times . Retrieved August 28 , 2016 . Jump up ^ ' 보보 경심 ' 측 `` SBS 편성 확정 ... 8 월 29 일 첫방 '' ( 공식 입장 ) ( in Korean ) . May 5 , 2016 . Retrieved May 5 , 2016 . Jump up ^ `` YG Entertainment joins ' Scarlet Heart ' production '' . January 25 , 2016 . Retrieved July 6 , 2016 . Jump up ^ `` Universal Studio 's First Coproduction of Korean Drama '' . Kofice . Jump up ^ `` Chinese remake ' Moon Lovers ' to premiere '' . Korea Times . Jump up ^ `` IU 's Suffers From Worst Acting Controversy '' . Naver . Jump up ^ `` EXO Baekhyun 's Acting In ' Moon Lovers : Scarlet Heart Ryeo ' Receives Criticism '' . International Business Times . Jump up ^ `` Acting Limits of Idol Actors '' . Segye . Jump up ^ `` After Moon Lovers ' Flop , What 's Lee Joon Gi 's Next Move ? '' . Newspim . Jump up ^ `` Moon Lovers - Scarlet Heart : Lee Joon Gi disappointed with	Moon Lovers: Scarlet Heart Ryeo
412	413	drama 's ratings '' . International Business Times . Jump up ^ `` The Failure of Pre-produced Dramas '' . TV Daily . Jump up ^ `` ( SBS 결산 1 ) ' 푸른 바다 ' 웃고 ' 달 의 연인 ' 울고 퐁당 퐁당 시청률 '' . Naver . Jump up ^ `` 2016 : Pre-produced Dramas Flop '' . Naver . Jump up ^ `` Drama Report Card : Pre-produced Dramas of 2016 '' . Naver . Jump up ^ `` Moon Lovers : Scarlet Heart Ryeo excels internationally ; Garners 1.1 billion views in China '' . September 24 , 2016 . Retrieved October 24 , 2017 . Jump up ^ `` Lee Joon Ki thanks lovely international fans for 2 billion views of Scarlet Heart : Ryeo '' . October 26 , 2016 . Retrieved October 24 , 2017 . Jump up ^ For creative license ; Wang Wook 's actual wife was Lady Yoo ( later `` Queen Seon'ui '' as Wang Wook was posthumously granted the title `` King Daejong '' ( 대종 대왕 ) ) . Lady Yoo 's heritage is complicated ( as a result of Taejo 's policy ) : Father / father - in - law : King Taejo Mother : Queen Jeongdeok ( who is also the mother of Wang Eun & Wang Jung 's wife ) Mother - in - law / step - mother : Queen Shinjeong ( who is also the mother of Gwangjong 's wife	Moon Lovers: Scarlet Heart Ryeo
413	414	Queen Daemok ) Husband / half - brother : Wang Wook Jump up ^ For creative license ; Wang Eun 's actual wife is Princess Heungbang . As per Taejo 's half - sibling marriage policy , her heritage is thus : Father / father - in - law : King Taejo Mother : Queen Shinmyeongsunseong Mother - in - law / step - mother : Queen Jeongdeok ( who is also the mother of Wang Wook 's wife Lady Yoo ( see above ) ) Husband / half - brother : Wang Eun Jump up ^ # 29 포토 스케치 : 열린 결말 이지만 후회 하지 않아요 . 원망 하지 않습니다 . ( 부제 : 소 부바 길만 걸어 ... ♡ ) ( in Korean ) . November 3 , 2016 . Retrieved July 17 , 2017 . 애기 가 애기 를 낳았 어요 ( 기쁘다 설이 오셨네 ! ! ! ! ! ) Jump up ^ ' 보보 경심 : 려 ' 고사 현장 , 이준기 필두 로 총출동 . TV Daily ( in Korean ) . February 11 , 2016 . Retrieved August 18 , 2016 . Jump up ^ `` IU , Lee Joon - gi ready for new drama '' . Korea Herald . 2016 - 01 - 18 . Retrieved 2016 - 08 - 31 . Jump up ^ ' 보보 경심 : 려 ' 이준기 아이유 첫 공개 , 고독한 황자 와 상큼한 억척녀 . News1 ( in Korean ) . February 15	Moon Lovers: Scarlet Heart Ryeo
414	415	, 2016 . Retrieved August 18 , 2016 . Jump up ^ 이준기 아이유 주연 ' 보보 경심 : 려 ' , 백제 문화 단지 서 찍는다 ( in Korean ) . Chungbuk Ildo . January 31 , 2016 . Retrieved August 18 , 2016 . Jump up ^ `` Travel to `` Moon Lovers : Scarlet Heart Ryeo '' filming sites `` . Korea Tourism Organisation. 2016 - 09 - 21 . Retrieved 2016 - 09 - 23 . Jump up ^ 이준기 , ' 달 의 연인 ' 촬영 끝 ... `` 시원 섭섭 ... 사랑 받았으면 '' 소감 . Naver ( in Korean ) . July 4 , 2016 . Retrieved August 18 , 2016 . Jump up ^ Cumulative sales for `` For You '' : `` Gaon Download Chart -- Week 35 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 36 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 37 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 38 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 22 . `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29 . `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . `` Gaon Download Chart -- Week 41 '' . gaonchart.co.kr . Retrieved	Moon Lovers: Scarlet Heart Ryeo
415	416	2016 - 10 - 13 . `` Gaon Download Chart -- Week 42 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 20 . `` Gaon Download Chart -- Week 43 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 27 . `` Gaon Download Chart -- Week 44 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 03 . `` Gaon Download Chart -- Week 45 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 11 . `` Gaon Download Chart -- Week 46 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 17 . `` Gaon Download Chart -- Week 47 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 24 . `` Gaon Download Chart -- Week 48 '' . gaonchart.co.kr . Retrieved 2016 - 12 - 02 . `` Gaon Download Chart -- Week 49 '' . gaonchart.co.kr . Retrieved 2016 - 12 - 08 . `` Gaon Download Chart -- Week 50 '' . gaonchart.co.kr . Retrieved 2016 - 12 - 15 . Jump up ^ Cumulative sales for `` Say Yes '' : `` Gaon Download Chart -- Week 36 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 37 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 38 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 22 . `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29	Moon Lovers: Scarlet Heart Ryeo
416	417	. `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . `` Gaon Download Chart -- Week 41 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . `` Gaon Download Chart -- Week 42 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 20 . `` Gaon Download Chart -- Week 43 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 27 . `` Gaon Download Chart -- Week 44 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 03 . Jump up ^ Cumulative sales for `` I Love You , I Remember You '' : `` Gaon Download Chart -- Week 36 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 37 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 38 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 22 . `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29 . Jump up ^ Cumulative sales for `` Forgetting You '' : `` Gaon Download Chart -- Week 37 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 08 . `` Gaon Download Chart -- Week 38 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 22 . `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29 . `` Gaon Download Chart -- Week	Moon Lovers: Scarlet Heart Ryeo
417	418	40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . `` Gaon Download Chart -- Week 41 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . `` Gaon Download Chart -- Week 42 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 20 . `` Gaon Download Chart -- Week 43 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 27 . `` Gaon Download Chart -- Week 44 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 03 . `` Gaon Download Chart -- Week 45 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 11 . `` Gaon Download Chart -- Week 46 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 17 . `` Gaon Download Chart -- Week 47 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 24 . `` Gaon Download Chart -- Week 48 '' . gaonchart.co.kr . Retrieved 2016 - 12 - 02 . Jump up ^ Cumulative sales for `` All With You '' : `` Gaon Download Chart -- Week 38 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 22 . `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29 . `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . Jump up ^ Cumulative sales for `` Can You Hear My Heart '' : `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 -	Moon Lovers: Scarlet Heart Ryeo
418	419	09 - 29 . `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . `` Gaon Download Chart -- Week 41 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . `` Gaon Download Chart -- Week 42 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 20 . `` Gaon Download Chart -- Week 43 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 27 . `` Gaon Download Chart -- Week 44 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 03 . `` Gaon Download Chart -- Week 45 '' . gaonchart.co.kr . Retrieved 2016 - 11 - 11 . Jump up ^ Cumulative sales for `` A Lot Like Love '' : `` Gaon Download Chart -- Week 39 '' . gaonchart.co.kr . Retrieved 2016 - 09 - 29 . `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . `` Gaon Download Chart -- Week 41 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . ^ Jump up to : `` Gaon Download Chart -- Week 40 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 06 . Jump up ^ Cumulative sales for `` My Love '' : `` Gaon Download Chart -- 2016 년 10 월 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . Jump up ^ Cumulative sales for `` Wind '' : `` Gaon Download Chart -- 2016 년	Moon Lovers: Scarlet Heart Ryeo
419	420	10 월 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . Jump up ^ Cumulative sales for `` Be With You '' : `` Gaon Download Chart -- 2016 년 10 월 '' . gaonchart.co.kr . Retrieved 2016 - 10 - 13 . Jump up ^ `` 2016 Gaon Album Chart -- Week 45 ( See # 12 ) '' . gaonchart . October 30 -- November 5 , 2016 . Jump up ^ `` Gaon Album Chart -- December , 2016 '' . gaonchart . Jump up ^ `` QQ 音乐 -- 달 의 연인 -- 보보 경심 려 OST '' ( QQ Music -- Moon Lovers : Scarlet Heart Ryeo OST ) . QQ music . y.qq.com . Retrieved June 9 , 2017 . Jump up ^ `` AGB Daily Ratings : this links to current day - select the date from drop down menu '' . AGB Nielsen Media Research ( in Korean ) . Retrieved June 20 , 2016 . Jump up ^ `` ' 달 의 연인 ' , 야구 중계 로 결국 결방 확정 ( 공식 입장 ) '' . Retrieved 2016 - 10 - 17 . Jump up ^ `` ' 달 의 연인 ' 한국 브랜드 대상 수상 `` K 컬쳐 자부심 우뚝 '' `` . Retrieved October 29 , 2016 . Jump up ^ ( SBS 연기 대상 ) 한석규 , 5 년만 대상 ... ' 낭만 닥터 ' 7 관왕 쾌거 ( 종합 ) ( ( SBS Drama	Moon Lovers: Scarlet Heart Ryeo
420	421	Awards ) Han Suk - gyu , Daesang ... `` Doctor Crush '' takes seven awards ) ( in Korean ) . Star News . January 1 , 2017 . Retrieved January 1 , 2017 . Jump up ^ ( 2016 SBS 연기 대상 ) 한석규 대세론 속 전지현 ‧ 이민호 ‧ 이준기 ' 대상 가능성 ' ( in Korean ) . Focus News . December 31 , 2016 . Archived from the original on January 4 , 2017 . Retrieved January 1 , 2017 . Jump up ^ Park , Hye - mi ( November 16 , 2016 ) . ' 2016 아시아 아티스트 어워즈 ' 배수지 - 박 보검 , 베스트 스타 상 수상 `` 아름다운 밤 이다 '' ( ' 2016 Asia Artist Awards ' Bae Suzy - Park Bo - gum , Best Star Award `` It 's a beautiful night '' ) . News Zum ( in Korean ) . Retrieved June 8 , 2017 . Jump up ^ Oh , Ji - won ( November 16 , 2016 ) . ' AAA ' 조진웅 ∙ 엑소 대상 ... 방탄 소년단 ∙ 박 보검 ∙ 윤아 2 관왕 ( 종합 ) ( ' AAA ' Jo Jin - woong and EXO Daesang ... BTS , Park Bo - gum , YoonA win twice ) . TV Daily ( in Korean ) . Retrieved June 8 , 2017 . Jump up ^ Im , Ji - yeon ( November 16 , 2016 ) . ( 2016AAA	Moon Lovers: Scarlet Heart Ryeo
421	422	) 나나 류준열 , 드라마 부문 男女 신인상 ( ( 2016AAA ) Nana and Ryu Joon - yeol win Best Rookie Award for female and male ) . News Zum ( in Korean ) . Retrieved June 8 , 2016 . Jump up ^ 53 회 TV 부문 후보자 ᆞ 작품 여자 신인 연기 상 ( in Korean ) . Retrieved April 7 , 2017 . Jump up ^ 공유 박 보검 남궁민 한석규 ... 백상 예술 대상 男 TV 연기 상 4 파전 ( in Korean ) . April 7 , 2017 . Retrieved April 7 , 2017 . Jump up ^ Lee , Yong - wook ( 19 March 2016 ) . `` 아이유 - 이준기 주연 한국판 ' 보보 경심 ' , 9 월 한중 동시 방영 '' ( Korean ' Scarlet Heart ' starring IU and Lee Joon - gi to be simulcast in China in September ) . MyDaily Korea ( in Korean ) . Naver . Retrieved 20 March 2016 . Jump up ^ `` ' Scarlet Heart : Ryeo ' Director praises IU 's Hae - Soo , Go Ha - Jin performance '' . Yibada . August 21 , 2016 . Retrieved August 22 , 2016 . Jump up ^ `` South Korean remake of Scarlet Heart to premiere here the same time as Korea '' . 4 August 2016 . Retrieved 9 August 2016 . Jump up ^ `` ' Scarlet Heart ' To Premiere In Singapore & Malaysia At The	Moon Lovers: Scarlet Heart Ryeo
422	423	Same Time As In Korea '' . 4 August 2016 . Retrieved 9 August 2016 . Jump up ^ `` 步 步 惊 心 : 丽 '' . Youku . Jump up ^ `` Moon Lovers : Scarlet Heart Ryeo excels internationally ; Garners 1.1 billion views in China '' . IBTimes . Jump up ^ `` NGƯỜI TÌNH ÁNH TRĂNG ( MOON LOVERS ) -- TRỌN BỘ -- YouTube '' . YouTube . Retrieved 2017 - 05 - 31 . Jump up ^ KNTV ドラマ 麗 < レイ > ~ 花 萌 ゆる 8 人 の 皇子 たち ~ ( in Japanese ) . Retrieved September 18 , 2016 . Jump up ^ `` Scarlet Heart -- LA18 Mon - Tues Korean Drama '' ( in Korean ) . Retrieved 2016 - 09 - 26 . Jump up ^ `` Moon Lovers : Scarlet Heart Ryeo ข้าม มิติ ลิขิต สวรรค์ -- ซี รี ย์ เกาหลี '' . korea. tlcthai ( in Thai ) . Retrieved 2016 - 10 - 15 . Jump up ^ `` ' Scarlet Heart , ' ngayong March 27 na pagkatapos ng ' Meant To Be ' '' ( in Filipino ) . GMA Entertainment . March 23 , 2017 . Retrieved March 23 , 2017 . Jump up ^ https://www.facebook.com/iflix.SriLanka/videos/764941700335603/ Jump up ^ `` FI بصورت آنلاین پخش خواهد شد '' . webcache.googleusercontent.com . Retrieved 2018 - 05 - 12 . Jump up ^ `` GEM Group Network '' . www.facebook.com . Retrieved 2018	Moon Lovers: Scarlet Heart Ryeo
423	424	- 05 - 12 . External links ( edit ) Wikimedia Commons has media related to Moon Lovers : Scarlet Heart Ryeo . Moon Lovers : Scarlet Heart Ryeo official SBS website ( in Korean ) Moon Lovers : Scarlet Heart Ryeo at HanCinema Moon Lovers : Scarlet Heart Ryeo on IMDb SBS 's Monday -- Tuesday dramas 1990s Sandglass White Nights 3.98 2000s Love Story in Harvard Bad Housewife Fashion 70 's Ballad of Seodong Alone in Love The 101st Proposal Snow Flower My Husband 's Woman The King and I Tokyo Sun Shower Gourmet Tazza Terroir Ja Myung Go Dream Temptation of an Angel 2010 -- 2014 Stars Falling from the Sky Jejungwon Oh ! My Lady Giant Coffee House I Am Legend Dr. Champ It 's Okay , Daddy 's Girl Athena : Goddess of War Paradise Ranch Midas Lie to Me Warrior Baek Dong - soo A Thousand Days ' Promise History of a Salaryman Fashion King The Chaser Faith The King of Dramas King of Ambition Jang Ok - jung , Living by Love Empire of Gold The Suspicious Housekeeper One Warm Word God 's Gift : 14 Days Doctor Stranger Temptation Secret Door Punch 2015 -- 2019 Heard It Through the Grapevine High Society Mrs. Cop Six Flying Dragons The Royal Gambler Doctors Moon Lovers : Scarlet Heart Ryeo Dr. Romantic Innocent Defendant Whisper My Sassy Girl Distorted Temperature of Love Oh , the Mysterious Should We Kiss First ? Exit ( ko )	Moon Lovers: Scarlet Heart Ryeo
424	425	Wok of Love Thirty But Seventeen People of Incheon Airport Works by Tong Hua Novels Bubu Jingxin ( 2005 ) Ballad of the Desert ( 2006 - 2007 ) Song in the Clouds ( 2007 - 2008 ) Adaptations Scarlet Heart ( 2011 ) Episodes Sequel Best Time ( 2013 ) Sound of the Desert ( 2014 ) Love Yunge from the Desert ( 2015 ) Time to Love ( 2015 ) Moon Lovers : Scarlet Heart Ryeo ( 2016 ) The Starry Night , The Starry Sea ( 2017 ) Sequel A Life Time Love ( 2017 ) Television series Perfect Couple ( 2014 ) The Cage of Love ( 2015 ) Destined to Love You ( 2015 ) A Detective Housewife ( 2016 ) Stay with Me ( 2016 ) Retrieved from `` https://en.wikipedia.org/w/index.php?title=Moon_Lovers:_Scarlet_Heart_Ryeo&oldid=841847064 '' Categories : Scarlet Heart Time travel television series Alternate history television series Korean - language television programs 2010s South Korean television series 2016 South Korean television series debuts Television programs based on works by Tong Hua ( writer ) Television series set in the 10th century South Korean historical television series Seoul Broadcasting System television dramas Television series set in Goryeo South Korean fantasy television series Body swapping in fiction Television series by Universal Television Television series by YG Entertainment South Korean pre-produced television series 2016 South Korean television series endings Hidden categories : CS1 uses Korean - language script ( ko ) CS1 Korean - language sources ( ko ) CS1 uses	Moon Lovers: Scarlet Heart Ryeo
425	426	Japanese - language script ( ja ) CS1 Japanese - language sources ( ja ) CS1 Thai - language sources ( th ) CS1 foreign language sources ( ISO 639 - 2 ) Articles containing Korean - language text Interlanguage link template link number Pages using infobox television with editor parameter Pages using div col without cols and colwidth parameters Articles with hAudio microformats Album infoboxes lacking a cover Music infoboxes with deprecated parameters Articles with Korean - language external links Talk Contents About Wikipedia Azərbaycanca Bân - lâm - gú Español فارسی 한국어 Հայերեն Bahasa Indonesia Italiano Magyar Bahasa Melayu Polski Português Svenska தமிழ் ไทย Türkçe Tiếng Việt 中文 10 more Edit links This page was last edited on 18 May 2018 , at 13 : 18 . Text is available under the Creative Commons Attribution - ShareAlike License ; additional terms may apply . By using this site , you agree to the Terms of Use and Privacy Policy . Wikipedia ® is a registered trademark of the Wikimedia Foundation , Inc. , a non-profit organization . About Wikipedia	Moon Lovers: Scarlet Heart Ryeo
426	427	Unitarian Universalism - wikipedia Unitarian Universalism Jump to : navigation , search This article is about the liberal religious movement . For the Christian theology that includes a central belief in the unitary nature of God , see Unitarianism . For the Christian theology that includes a central belief in universal reconciliation , see Christian Universalism . For other uses of Unitarianism , see Unitarian . For Universalism as a general philosophy , see Universalism . Unitarian Universalism An early logo of the Unitarian Universalist Association which includes a flaming chalice , its most widely used symbol Abbreviation UUism , Unitarianism Type Liberal religion Scripture All sources admissible , none required . Members are free to observe their own personally - favored literature . Founder Members of American Unitarian Association and Universalist Church of America via consolidation Origin May 1961 Congregations 1,070 worldwide Number of followers 199,850 members of Unitarian Universalist Association congregations in the United States ; 800,000 identify as Unitarian Universalist throughout the world ( this number includes the United States total ) . Unitarian Universalism ( UU ) is a liberal religion characterized by a `` free and responsible search for truth and meaning '' . Unitarian Universalists assert no creed , but instead are unified by their shared search for spiritual growth . As such , their congregations include many atheists , agnostics , and theists within their membership . The roots of Unitarian Universalism lie in liberal Christianity , specifically Unitarianism and Universalism . Unitarian	Unitarian Universalism
427	428	Universalists state that from these traditions comes a deep regard for intellectual freedom and inclusive love . Congregations and members seek inspiration and derive insight from all major world religions . The beliefs of individual Unitarian Universalists range widely , including atheism , agnosticism , pantheism , deism , Judaism , Islam , Christianity , neopaganism , Hinduism , Buddhism , Daoism , Humanism , and many more . The Unitarian Universalist Association ( UUA ) was formed in 1961 through the consolidation of the American Unitarian Association , established in 1825 , and the Universalist Church of America , established in 1793 . The UUA is headquartered in Boston , Massachusetts , and serves churches mostly in the United States . A group of thirty Philippine congregations is represented as a sole member within the UUA . The Canadian Unitarian Council ( CUC ) became an independent body in 2002 . The UUA and CUC are , in turn , two of the seventeen members of the International Council of Unitarians and Universalists . Contents ( hide ) 1 History 1.1 Puritan roots and Congregationalist background 1.2 Universalism 1.3 Unitarianism 1.3. 1 Britain 1.3. 2 United States 1.4 Integration 1825 -- 1961 2 Belief , covenant , and scripture 2.1 Seven Principles 2.2 Six Sources 2.3 Approach to sacred writings 3 Worship and practice 3.1 Diversity of practices 3.2 Diversity of congregations 3.3 Elevator speeches 4 Worship and ritual 4.1 Symbols 4.2 Services of worship 5 Politics 5.1 Historical	Unitarian Universalism
428	429	politics of Unitarians and Universalists 5.2 Politics of Unitarian Universalists 6 Controversies 6.1 External 6.1. 1 Lack of formal creed 6.1. 2 Confusion with other groups 6.2 Internal 6.2. 1 Language of reverence 6.2. 2 Borrowing from other religions 7 Organizations 8 Number of members 9 Notable members 10 Notable congregations 11 See also 12 References 13 Further reading 14 External links History ( edit ) This section needs additional citations for verification . Please help improve this article by adding citations to reliable sources . Unsourced material may be challenged and removed . ( June 2011 ) ( Learn how and when to remove this template message ) Puritan roots and congregationalist background ( edit ) Main articles : Calvinism , Puritanism , Congregational church , and Pilgrim Fathers See also : Congregationalism in the United States Part of a series on Puritans The Puritan ( 1887 ) , a statue in Springfield , Massachusetts by Augustus Saint - Gaudens Background ( show ) Christianity Protestantism Reformation English Reformation Calvinism Anglicanism Arminianism Arminianism in the Church of England English Dissenters Independents Nonconformism English Presbyterianism Ecclesiastical separatism 17th - century denominations in England Crucial themes ( show ) Definitions of Puritanism Impropriation Puritan Sabbatarianism Millennialism Puritan choir Puritan work ethic Merton thesis History ( show ) under Queen Elizabeth I under King James I under King Charles I Cromwellian era and after in North America England ( show ) Scrooby Congregation Trial of Archbishop Laud Marian exiles Vestments controversy Martin	Unitarian Universalism
429	430	Marprelate Millenary Petition Grand Remonstrance English Civil War English Restoration Act of Uniformity 1662 Great Ejection Westminster Confession of Faith Elizabethan Religious Settlement America ( show ) Providence Island Company Massachusetts Bay Colony Salem witch trials immigration to New England culture in New England Christmas prohibition American exceptionalism Elsewhere ( show ) Troubles at Frankfurt Notable individuals ( show ) Peter Bulkley John Bunyan William Bradford Anne Bradstreet John Cotton Oliver Cromwell John Endecott Jonathan Edwards Anne Hutchinson Cotton Mather Increase Mather James Noyes Thomas Parker Roger Williams John Winthrop Robert Woodford Works ( show ) The Godly Man 's Picture The Pilgrim 's Progress Paradise Lost Foxe 's Book of Martyrs Continuing movements ( show ) Congregational churches ( U.S. ) other Reformed churches Reformed Baptists Nondenominational Protestants Unitarian Universalism Unitarian Universalism was formed from the consolidation in 1961 of two historically separate Christian denominations , the Universalist Church of America and the American Unitarian Association , both based in the United States ; the new organization formed in this merger was the Unitarian Universalist Association . At the time of the North American consolidation , Unitarians and Universalists had expanded beyond their roots in liberal Christian theology . Today they draw from a variety of religious traditions . Individuals may or may not self - identify as Christians or subscribe to Christian beliefs . Unitarian Universalist congregations and fellowships tend to retain some Christian traditions , such as Sunday worship with a sermon and the singing of hymns	Unitarian Universalism
430	431	. The extent to which the elements of any particular faith tradition are incorporated into personal spiritual practice is a matter of individual choice for congregants , in keeping with a creedless , non-dogmatic approach to spirituality and faith development . New England Unitarians evolved from the Pilgrim Fathers ' Congregational Christianity , which was originally based on a literal reading of the Holy Bible . Liberalizing Unitarians rejected the Trinitarian belief in the tri-personal godhead : Father , Son , and Holy Ghost / Spirit . Instead , they asserted a unitary notion of God . In addition , they rejected the doctrine of original sin , moving away from the Calvinism of the Congregationalists . New England Universalists rejected the Puritan forefathers ' emphasis on the select few , the Elect , who were supposed to be saved from eternal damnation by a just God . Instead Universalists asserted that all people will eventually be reconciled with God . Universalists rejected the hellfire and damnation of the evangelical preachers , who tried to revive the fundamentalist Christianity of the early Pilgrim fathers . Universalism ( edit ) Main articles : Universalism and Christian Universalism Universalists claim a long history , beginning with Origen and Gregory of Nyssa , though some modern scholars question whether either of these church fathers taught the defining doctrine of Universalism ( universal salvation ) . This core doctrine asserts that through Christ every single human soul shall be saved , leading to the	Unitarian Universalism
431	432	`` restitution of all things '' ( apocatastasis ) . In 1793 , Universalism emerged as a particular denomination of Christianity in the United States , eventually called the Universalist Church of America . Early American advocates of Universal Salvation such as Elhanan Winchester , Hosea Ballou and John Murray taught that all souls would achieve salvation , sometimes after a period resembling purgatory . Christian Universalism denies the doctrine of everlasting damnation , and proclaims belief in an entirely loving God who will ultimately redeem all human beings . Unitarianism ( edit ) Main article : Unitarianism Historically , various forms of Nontrinitarianism have appeared within Christianity . The term may refer to any belief about the nature of Jesus Christ that affirms God as a singular entity and rejects the doctrine of the Trinity , as affirmed by the mainstream Christianity : a consensus of Christian bishops at the First Council of Nicaea in 325 . Nontrinitarianism was especially prevalent during the theological turmoils of the Protestant Reformation . A Spanish physician , Michael Servetus , studied the Bible and concluded that the concept of the Trinity , as traditionally conceived , was not biblical . His books On the Errors of the Trinity and Christianismi Restitutio caused much uproar . Servetus was eventually arrested , convicted of heresy , and burned at the stake in Geneva in 1553 under the order of John Calvin . The term Unitarian entered the English language via Henry Hedworth , who	Unitarian Universalism
432	433	applied it to the teachings of Laelio Sozzini and the Polish Socinians . Unitarian churches were formally established in Transylvania and Poland ( by the Socinians ) in the second half of the 16th Century . There , the first doctrines of religious freedom in Europe were established ( in the course of several diets between 1557 and 1568 , see Edict of Torda ) under the jurisdiction of John Sigismund , king of Hungary and Prince of Transylvania , the only Unitarian monarch . The early Unitarian church not only rejected the Trinity , but also the pre-existence of Christ as well as , in many cases , predestination and original sin as put forward by Augustine of Hippo , and the substitutionary atonement of Christ developed by Anselm of Canterbury and John Calvin . There were several different forms of Christology in the beginnings of the Unitarian movement ; ultimately , the dominant Christology became psilanthropism : that Jesus was a man , but one with a unique relationship to God . Britain ( edit ) Main article : History of Unitarianism Influenced by the teachings of the Polish Socinians , Samuel Clarke ( 1675 -- 1729 ) revised the Book of Common Prayer , removing the Trinitarian Nicene Creed and references to Jesus as God . Theophilus Lindsey also revised the Book of Common Prayer to allow a more tolerant , free Unitarian interpretation . Neither cleric was charged under the Blasphemy Act 1697 that made it	Unitarian Universalism
